well,electrode,mean_spikes,median_spikes,std_spikes,min_spikes,max_spikes,total_spikes,frac_nonzero,n_measurements
31,8,5.170731707317073,2.0,16.527733439142104,0.0,109.0,212,0.8536585365853658,41
31,9,2.902439024390244,2.0,3.6345555507049307,0.0,23.0,119,0.9512195121951219,41
31,10,270.2926829268293,22.0,524.9413088635133,0.0,2309.0,11082,0.9024390243902439,41
31,11,19.195121951219512,3.0,46.624195284859745,0.0,243.0,787,0.9024390243902439,41
31,12,253.82926829268294,7.0,493.4923778015676,0.0,1633.0,10407,0.9512195121951219,41
31,13,5.512195121951219,2.0,11.442586163462735,0.0,64.0,226,0.8780487804878049,41
31,14,28.75609756097561,3.0,96.10075517781627,0.0,492.0,1179,0.9024390243902439,41
31,15,165.5121951219512,3.0,449.31053534092894,0.0,1901.0,6786,0.9024390243902439,41
31,16,88.8048780487805,4.0,280.05045011631563,1.0,1226.0,3641,1.0,41
32,1,2.341463414634146,2.0,1.9077474406854797,0.0,8.0,96,0.8780487804878049,41
32,2,210.3658536585366,20.0,340.16715805526144,0.0,1202.0,8625,0.975609756097561,41
32,3,118.70731707317073,2.0,448.8651404784118,0.0,2246.0,4867,0.9024390243902439,41
32,4,28.78048780487805,3.0,78.3987656059873,0.0,414.0,1180,0.9512195121951219,41
32,5,13.170731707317072,3.0,45.73726795461671,0.0,281.0,540,0.9024390243902439,41
32,6,764.0487804878048,29.0,995.3301683169899,0.0,3402.0,31326,0.8292682926829268,41
32,7,11.097560975609756,3.0,51.597317418475036,0.0,337.0,455,0.8780487804878049,41
32,8,3.902439024390244,2.0,9.161970386779974,0.0,56.0,160,0.9024390243902439,41
32,9,3.6341463414634148,3.0,4.354734443814588,0.0,25.0,149,0.9024390243902439,41
32,10,2.4390243902439024,2.0,2.7144489670146807,0.0,17.0,100,0.8780487804878049,41
32,11,2.6097560975609757,2.0,1.7090583454980344,0.0,9.0,107,0.926829268292683,41
32,12,3.6097560975609757,2.0,7.234328895941761,0.0,40.0,148,0.8536585365853658,41
32,13,8.21951219512195,2.0,22.473303614996226,0.0,126.0,337,0.8292682926829268,41
32,14,3.2439024390243905,2.0,5.418038920733168,0.0,36.0,133,0.9024390243902439,41
32,15,2.5365853658536586,2.0,2.0612281559801557,0.0,10.0,104,0.8536585365853658,41
32,16,1.853658536585366,2.0,1.4238555628611147,0.0,6.0,76,0.8048780487804879,41
33,1,9.048780487804878,2.0,22.25785826647189,0.0,131.0,371,0.8292682926829268,41
33,2,2.682926829268293,2.0,2.570366059061019,0.0,11.0,110,0.8048780487804879,41
33,3,2.658536585365854,2.0,2.4356073625014494,0.0,14.0,109,0.8292682926829268,41
33,4,3.1463414634146343,2.0,3.9728405738043593,0.0,24.0,129,0.8536585365853658,41
33,5,6.780487804878049,2.0,14.18090814650484,0.0,79.0,278,0.9024390243902439,41
33,6,2.1219512195121952,2.0,1.4346771873027064,0.0,5.0,87,0.8292682926829268,41
33,7,2.1951219512195124,2.0,1.4179943271949886,0.0,5.0,90,0.8536585365853658,41
33,8,2.1707317073170733,2.0,1.3597424258308637,0.0,6.0,89,0.8780487804878049,41
33,9,28.29268292682927,3.0,78.0860200793093,0.0,333.0,1160,0.9024390243902439,41
33,10,2.048780487804878,2.0,1.5452716157519177,0.0,6.0,84,0.8292682926829268,41
33,11,5.487804878048781,3.0,8.19316178648319,0.0,35.0,225,0.8292682926829268,41
33,12,3.5121951219512195,1.0,9.263413349773218,0.0,61.0,144,0.8292682926829268,41
33,13,2.048780487804878,1.0,1.6667658110507206,0.0,6.0,84,0.8048780487804879,41
33,14,2.341463414634146,2.0,1.6321429292021081,0.0,7.0,96,0.8780487804878049,41
33,15,4.341463414634147,2.0,9.598296993503105,0.0,61.0,178,0.926829268292683,41
33,16,2.317073170731707,2.0,1.6592537904092632,0.0,7.0,95,0.8780487804878049,41
34,1,3.682926829268293,2.0,7.970797384569851,0.0,53.0,151,0.8780487804878049,41
34,2,132.09756097560975,2.0,424.5589852367638,0.0,2128.0,5416,0.9512195121951219,41
34,3,2.8292682926829267,2.0,5.103334342939321,0.0,34.0,116,0.8780487804878049,41
34,4,3.3658536585365852,2.0,5.2626437646128315,0.0,34.0,138,0.926829268292683,41
34,5,8.975609756097562,3.0,27.684183919023944,0.0,180.0,368,0.9512195121951219,41
34,6,7.024390243902439,2.0,31.672476167477292,0.0,207.0,288,0.7804878048780488,41
34,7,24.0,4.0,55.270509933351285,0.0,317.0,984,0.9024390243902439,41
34,8,3.097560975609756,2.0,2.7744907513287558,0.0,14.0,127,0.9512195121951219,41
34,9,29.51219512195122,3.0,132.98690967144822,0.0,857.0,1210,0.926829268292683,41
34,10,2.4390243902439024,2.0,1.938679214559771,0.0,10.0,100,0.8780487804878049,41
34,11,228.21951219512195,9.0,349.3313831149878,0.0,1168.0,9357,0.926829268292683,41
34,12,2.2195121951219514,2.0,1.7601579075774356,0.0,8.0,91,0.8292682926829268,41
34,13,22.829268292682926,2.0,78.28244747318159,0.0,448.0,936,0.8536585365853658,41
